Job Title,Company
Software ﻿QA Engineer Testing,CodeBee Nepal Pvt. Ltd.(Sister Concern Of WallBee APS)
Software Developer Dot Net,CodeBee Nepal Pvt. Ltd.(Sister Concern Of WallBee APS)
"Interpreter, Translator, Bridge Engineer, Highway Engineer, HSE, Civil Engineer, Office Staff",Poly Changda Engineering Company
Expression of Interest to Conduct Training of Trainers (TOT),Access Planet Organization
Admin Associate,Bagmati Welfare Society Nepal(BWSN)
बाख्रा आपुर्ति सम्बन्धि टेण्डर आह्वान गरिएको सूचना,CEAD Nepal Doti
Call for Proposal for consultancy service,Association of Community Radio Broadcasters Nepal
Individual Consultant - Capacity Building Officer,UNDP
Province Director,KIRDARC-Nepal
Various,Vijay Motors Pvt. Ltd.
Crew Member (All-rounder),JobsNepal.com Direct Recruitment Service
Administrative Officer,JobsNepal.com Direct Recruitment Service
